id_tarjeta,id_cliente,id_cliente_original,indice_tarjeta,marca_tarjeta,tipo_tarjeta,numero_tarjeta,fecha_expiracion,cvv,tiene_chip,tarjetas_emitidas,limite_credito,fecha_apertura,ano_ultimo_pin,en_dark_web
34,10,10,1,Visa,Débito,4324062360619923,02/2020,358,SÍ,1,18641.0,02/2020,2020,No
35,11,11,0,Visa,Débito,4852639114720724,05/2023,995,SÍ,1,26019.0,01/2020,2020,No
36,12,12,0,Mastercard,Débito,5656383455895230,01/2021,547,SÍ,1,25845.0,02/2020,2020,No
37,13,13,0,Visa,Débito,4556928160477229,06/2023,64,SÍ,2,2365.0,01/2007,2009,No
38,13,13,1,Mastercard,Débito,5515782790823587,06/2023,419,SÍ,2,18684.0,07/2006,2017,No
39,13,13,2,Visa,Crédito,4508388296516458,02/2021,364,NO,2,7400.0,02/2020,2020,No
40,14,14,0,Mastercard,Débito,5548265564669334,12/2024,145,SÍ,2,4147.0,12/2008,2016,No
41,15,15,0,Visa,Debit (Prepaid),4986270376099447,04/2022,385,SÍ,1,76.0,12/2012,2012,No
42,15,15,1,Discover,Crédito,6726060094896113,01/2009,105,NO,1,4700.0,12/2008,2014,No
43,15,15,2,Visa,Crédito,4157109762296149,06/2021,433,SÍ,2,5800.0,08/2007,2011,No
44,15,15,3,Mastercard,Débito,5231462717450524,03/2024,754,SÍ,2,12082.0,08/2016,2016,No
45,15,15,4,Mastercard,Crédito,5074836567307562,03/2023,741,NO,2,6000.0,06/2002,2010,No
46,15,15,5,Visa,Débito,4986369179342271,11/2009,367,SÍ,1,620.0,02/2002,2014,No
47,16,16,0,Mastercard,Débito,5892013969159900,08/2022,879,SÍ,1,14499.0,01/2008,2008,No
48,16,16,1,Mastercard,Débito,5179157151686144,07/2023,457,SÍ,2,12332.0,08/2007,2009,No
49,16,16,2,Mastercard,Débito,5569640141329524,09/2024,904,SÍ,1,18424.0,08/2013,2013,No
50,16,16,3,Visa,Crédito,4708914311449293,07/2023,149,NO,1,15400.0,08/2003,2008,No
51,16,16,4,Visa,Débito,4795724941278913,02/2022,136,SÍ,2,14548.0,08/2007,2013,No
52,16,16,5,Mastercard,Crédito,5300159511214994,12/2016,740,SÍ,2,10100.0,09/2016,2016,No
53,17,17,0,Discover,Crédito,6580244636542196,04/2011,416,SÍ,1,11200.0,02/2004,2008,No
54,17,17,1,Mastercard,Débito,5032457975030967,10/2024,240,SÍ,2,20291.0,12/2009,2011,No
55,17,17,2,Visa,Débito,4382324870900908,08/2018,852,SÍ,1,32092.0,01/2006,2010,No
56,17,17,3,Mastercard,Débito,5456808094753905,02/2020,217,SÍ,1,20463.0,01/2020,2020,No
57,18,18,0,Visa,Débito,4465362453388909,08/2022,738,SÍ,1,15802.0,01/2020,2020,No
58,18,18,1,Visa,Débito,4668447208616693,02/2020,314,NO,2,4612.0,02/2020,2020,No
59,18,18,2,Discover,Crédito,6377595394803324,07/2020,675,SÍ,2,19900.0,01/2020,2020,No
60,19,19,0,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,SÍ,1,73.0,02/2000,2012,No
61,19,19,1,Mastercard,Débito,5377858405611171,01/2024,24,SÍ,1,11858.0,09/2009,2010,No
62,19,19,2,Mastercard,Débito,5585238056278288,03/2005,749,SÍ,1,9664.0,01/1998,2011,No
63,19,19,3,Mastercard,Débito,5355281784290567,06/2020,810,SÍ,1,8367.0,03/2009,2009,No
64,19,19,4,Visa,Crédito,4150093118072730,06/2022,135,SÍ,2,6100.0,02/2004,2009,No
65,20,20,0,Mastercard,Débito,5979295728871785,02/2020,630,SÍ,3,9944.0,02/2020,2020,No
66,20,20,1,Visa,Crédito,4473643731469839,01/2020,771,SÍ,1,7900.0,01/2020,2020,No
67,20,20,2,Visa,Crédito,4800116569994473,12/2020,201,SÍ,1,5600.0,02/2020,2020,No
68,21,21,0,Visa,Débito,4832328468851061,08/2023,580,SÍ,1,68400.0,01/2020,2020,No
69,21,21,1,Mastercard,Débito,5278075482033392,04/2023,437,SÍ,2,77237.0,01/2020,2020,No
70,22,22,0,Visa,Débito,4869845530765333,08/2024,701,SÍ,2,4488.0,07/2002,2015,No
71,22,22,1,Visa,Crédito,4231526239204033,02/2020,499,SÍ,2,12500.0,11/2014,2014,No
72,23,23,0,Mastercard,Débito,5813611925507601,12/2020,734,SÍ,2,23432.0,09/2001,2008,No
73,23,23,1,Amex,Crédito,366520954874839,05/2022,447,SÍ,2,8800.0,05/2005,2011,No
74,24,24,0,Mastercard,Crédito,5392697458480962,02/2020,886,SÍ,2,12100.0,02/2020,2020,No
75,25,25,0,Mastercard,Débito,5048151330736425,02/2020,931,SÍ,1,9708.0,01/2020,2020,No
76,25,25,1,Amex,Crédito,371643368691556,11/2021,683,SÍ,2,12000.0,07/2009,2011,No
77,25,25,2,Mastercard,Débito,5700734711260263,11/2023,230,SÍ,1,11973.0,03/2012,2012,No
78,26,26,0,Mastercard,Débito,5389442391430673,02/2022,658,SÍ,2,13601.0,10/2006,2014,No
79,26,26,1,Mastercard,Crédito,5079116875907423,01/2024,849,SÍ,2,7800.0,02/2020,2020,No
80,27,27,0,Visa,Débito,4390425683290569,10/2023,790,SÍ,2,17816.0,08/2008,2016,No
81,28,28,0,Mastercard,Débito,5217568630125704,03/2021,625,NO,2,17707.0,10/2010,2010,No
82,28,28,1,Amex,Crédito,397856635669220,11/2020,2,SÍ,1,9500.0,05/2005,2009,No
83,29,29,0,Mastercard,Débito,5529182104663869,01/2022,182,SÍ,1,19110.0,05/2010,2011,No
84,29,29,1,Mastercard,Débito,5489017664251289,08/2023,196,SÍ,1,13428.0,10/2016,2016,No
85,29,29,2,Mastercard,Débito,5793675314684781,06/2022,43,SÍ,1,24608.0,08/2005,2009,No
86,29,29,3,Mastercard,Débito,5845373196638993,09/2022,111,SÍ,1,13441.0,01/2008,2011,No
87,30,30,0,Mastercard,Debit (Prepaid),5750288075891808,02/2020,788,SÍ,2,74.0,01/2020,2020,No
88,31,31,0,Mastercard,Débito,5429789020188285,10/2012,674,SÍ,1,17872.0,06/2008,2008,No
89,31,31,1,Mastercard,Crédito,5301114615829913,09/2022,425,SÍ,1,12900.0,12/2003,2010,No
90,31,31,2,Mastercard,Débito,5571104183564029,05/2024,52,SÍ,2,25264.0,03/2006,2020,No
91,31,31,3,Mastercard,Débito,5401948301255038,12/2022,920,SÍ,2,20634.0,03/2005,2007,No
92,32,32,0,Visa,Crédito,4295364044956974,04/2007,656,SÍ,2,12200.0,12/2006,2010,No
93,32,32,1,Visa,Crédito,4737484014371342,02/2010,221,SÍ,2,5500.0,01/2008,2008,No
94,33,33,0,Visa,Crédito,4509365132510769,03/2020,281,NO,2,6600.0,02/2020,2020,No
95,33,33,1,Mastercard,Débito,5068255294282305,11/2020,890,SÍ,1,25815.0,12/2017,2017,No
96,34,34,0,Amex,Crédito,354813103334804,06/2021,527,SÍ,2,8400.0,01/2014,2014,No
97,34,34,1,Mastercard,Débito,5910929635230868,02/2020,525,SÍ,1,21628.0,03/2001,2008,No
98,34,34,2,Mastercard,Débito,5400182448188961,10/2021,412,SÍ,1,24232.0,07/2009,2009,No
99,35,35,0,Mastercard,Débito,5039048842448184,11/2023,339,SÍ,2,10775.0,02/2009,2010,No
100,35,35,1,Mastercard,Debit (Prepaid),5672012369002302,02/2020,598,SÍ,2,105.0,06/2007,2013,No
101,36,36,0,Visa,Crédito,4336733185475861,01/2021,221,NO,2,7100.0,11/2010,2010,No
102,36,36,1,Mastercard,Débito,5985582173054292,07/2024,951,SÍ,1,29351.0,11/2005,2007,No
103,36,36,2,Mastercard,Débito,5281056728185174,03/2020,835,SÍ,2,15125.0,04/2008,2012,No
104,36,36,3,Mastercard,Crédito,5615660494634705,11/2021,865,SÍ,2,8000.0,11/2003,2008,No
105,36,36,4,Mastercard,Debit (Prepaid),5314878099448745,05/2011,994,SÍ,1,83.0,11/2010,2010,No
106,37,37,0,Amex,Crédito,311095486859536,01/2024,536,SÍ,2,23700.0,07/2012,2012,No
107,38,38,0,Visa,Crédito,4624747592911129,02/2024,986,SÍ,2,700.0,12/2016,2016,No
108,39,39,0,Mastercard,Débito,5595562388674401,07/2024,594,SÍ,2,7488.0,07/2006,2016,No
109,40,40,0,Visa,Crédito,4171022488649333,01/2002,225,NO,1,24900.0,02/1999,2010,No
110,40,40,1,Mastercard,Débito,5246337038556761,06/2021,638,SÍ,2,30971.0,03/2005,2020,No
111,40,40,2,Amex,Crédito,399966116933253,01/2024,343,SÍ,1,24400.0,01/2020,2020,No
112,40,40,3,Mastercard,Débito,5064137987234665,02/2020,599,SÍ,2,53549.0,01/2020,2020,No
113,40,40,4,Visa,Débito,4905540969337037,09/2018,573,SÍ,1,53036.0,10/2013,2013,No
114,40,40,5,Mastercard,Débito,5703849820939467,12/2024,300,SÍ,1,35750.0,08/2011,2011,No
115,40,40,6,Visa,Débito,4055403312631050,07/2021,902,SÍ,1,33375.0,03/2013,2013,No
116,41,41,0,Visa,Debit (Prepaid),4587476056357151,07/2023,858,SÍ,2,22.0,12/2010,2010,No
117,41,41,1,Discover,Crédito,6521426249819196,11/2020,608,SÍ,1,13100.0,08/2014,2014,No
118,41,41,2,Visa,Débito,4199712815274632,10/2024,440,SÍ,1,16516.0,07/2003,2011,No
119,41,41,3,Mastercard,Crédito,5172743861765175,07/2016,906,SÍ,1,15700.0,05/2004,2011,No
120,41,41,4,Mastercard,Débito,5214643602729093,05/2024,474,SÍ,1,21058.0,08/2003,2007,No
121,42,42,0,Visa,Débito,4013876625955765,10/2023,543,SÍ,2,36425.0,01/2002,2004,No
122,42,42,1,Visa,Debit (Prepaid),4966050979388902,03/2021,585,SÍ,2,91.0,12/2016,2016,No
123,42,42,2,Mastercard,Crédito,5247576622089394,09/2021,379,SÍ,1,13400.0,04/2005,2014,No
124,42,42,3,Mastercard,Crédito,5911319900289832,04/2021,37,SÍ,2,21600.0,04/2010,2010,No
125,43,43,0,Mastercard,Débito,5058769177189803,02/2020,12,NO,1,9090.0,02/2020,2020,No
126,44,44,0,Visa,Débito,4682877628388639,02/2023,846,NO,1,25942.0,11/2012,2012,No
127,44,44,1,Mastercard,Crédito,5882842508952744,07/2019,614,SÍ,2,10700.0,02/2003,2013,No
128,44,44,2,Mastercard,Crédito,5637149260486793,07/2022,630,SÍ,2,4900.0,02/2020,2020,No
129,45,45,0,Mastercard,Crédito,5115700923413241,04/2022,587,NO,1,18100.0,02/2020,2020,No
130,46,46,0,Amex,Crédito,324640473359364,03/2024,659,SÍ,2,7200.0,01/2020,2020,No
131,47,47,0,Mastercard,Débito,5033428838471726,02/2020,546,SÍ,2,22660.0,07/2004,2007,No
132,47,47,1,Discover,Crédito,6969946254132652,12/2022,588,SÍ,1,19800.0,05/2011,2011,No
133,47,47,2,Mastercard,Crédito,5181226307106931,11/2024,820,SÍ,2,15500.0,01/2005,2014,No
134,47,47,3,Visa,Debit (Prepaid),4310689470082080,06/2023,458,SÍ,1,13.0,01/2005,2008,No
135,47,47,4,Mastercard,Débito,5051066154001741,06/2021,526,SÍ,2,4317.0,07/2001,2011,No
136,48,48,0,Mastercard,Débito,5456915066505066,12/2021,553,NO,1,14719.0,03/2000,2008,No
137,48,48,1,Mastercard,Débito,5132664334960880,05/2021,593,SÍ,1,9532.0,09/2017,2017,No
138,48,48,2,Mastercard,Crédito,5752873844240568,03/2020,486,SÍ,1,10900.0,07/2006,2014,No
139,49,49,0,Mastercard,Crédito,5494228198326752,09/2024,428,SÍ,2,6200.0,11/2001,2012,No
140,49,49,1,Mastercard,Débito,5789639625525459,12/2012,43,SÍ,2,2903.0,11/2005,2011,No
141,49,49,2,Mastercard,Débito,5392957769023387,10/2020,803,SÍ,2,4355.0,12/1999,2010,No
142,50,50,0,Mastercard,Débito,5182820825620434,04/2021,126,SÍ,1,28963.0,11/2007,2012,No
143,50,50,1,Mastercard,Débito,5102353988152905,12/2022,667,SÍ,2,20913.0,05/2016,2016,No
144,50,50,2,Mastercard,Débito,5033135709911480,07/2024,170,SÍ,1,23344.0,02/2010,2010,No
145,50,50,3,Mastercard,Débito,5611522756791997,01/2020,882,SÍ,2,33642.0,10/2016,2016,No
146,51,51,0,Mastercard,Débito,5037404409791945,01/2022,681,SÍ,1,14695.0,09/2010,2011,No
147,52,52,0,Mastercard,Crédito,5571363047071896,09/2023,510,SÍ,1,13200.0,01/2007,2015,No
148,52,52,1,Visa,Débito,4083033843851772,01/2020,173,SÍ,1,29950.0,09/2008,2013,No
149,52,52,2,Visa,Crédito,4829916759482899,07/2024,768,SÍ,2,4600.0,12/2007,2011,No
150,53,53,0,Mastercard,Débito,5458492483408549,12/2022,92,SÍ,1,10051.0,04/2002,2011,No
151,53,53,1,Mastercard,Débito,5879094230635425,12/2015,729,SÍ,2,9796.0,02/2003,2013,No
152,54,54,0,Mastercard,Débito,5769435406360328,10/2021,957,SÍ,1,17826.0,10/2009,2009,No
153,54,54,1,Mastercard,Débito,5588799529406913,11/2024,778,SÍ,1,19086.0,12/2006,2009,No
154,54,54,2,Visa,Débito,4410685608952637,06/2024,265,SÍ,2,17345.0,10/2014,2014,No
155,54,54,3,Visa,Débito,4470822684089911,09/2020,923,SÍ,2,17976.0,02/2013,2013,No
156,54,54,4,Visa,Débito,4804338444306727,01/2022,279,SÍ,2,16447.0,01/2019,2019,No
157,55,55,0,Visa,Débito,4194362281636453,10/2024,271,SÍ,2,29573.0,10/2008,2009,No
158,55,55,1,Mastercard,Debit (Prepaid),5436469451844829,12/2021,48,SÍ,2,98.0,12/2010,2010,No
159,55,55,2,Mastercard,Débito,5648865641388293,08/2019,71,SÍ,2,2559.0,08/2002,2012,No
160,55,55,3,Mastercard,Débito,5914243757284149,10/2012,436,SÍ,2,6552.0,01/2003,2010,No
161,56,56,0,Mastercard,Crédito,5193780952753626,01/2021,591,SÍ,2,13800.0,01/2020,2020,No
162,57,57,0,Mastercard,Débito,5957925302951752,08/2020,746,SÍ,1,16375.0,02/2020,2020,No
163,57,57,1,Visa,Débito,4557061225558443,05/2023,780,SÍ,1,14213.0,01/2020,2020,No
164,57,57,2,Visa,Debit (Prepaid),4883222888293069,09/2020,2,SÍ,1,73.0,02/2020,2020,No
165,58,58,0,Mastercard,Débito,5476407228285230,11/2022,688,SÍ,2,53466.0,07/2007,2013,No
166,59,59,0,Visa,Crédito,4698943729070491,09/2020,450,SÍ,1,6600.0,01/2011,2013,No
167,59,59,1,Mastercard,Crédito,5579147219556308,06/2022,806,NO,2,7200.0,12/2015,2015,No
168,60,60,0,Mastercard,Débito,5099614207935768,11/2020,856,SÍ,1,2868.0,01/2020,2020,No
169,60,60,1,Discover,Crédito,6177503172021506,05/2024,97,SÍ,1,3400.0,01/2020,2020,No
170,61,61,0,Mastercard,Débito,5188130978534931,01/2022,446,SÍ,1,12915.0,10/2011,2013,No
171,61,61,1,Visa,Debit (Prepaid),4860320285002452,12/2023,366,SÍ,2,84.0,04/2009,2017,No
172,61,61,2,Discover,Crédito,6417599205270844,07/2021,504,SÍ,2,17600.0,04/2018,2018,No
173,61,61,3,Mastercard,Débito,5516722949603675,12/2012,621,SÍ,1,31542.0,11/2006,2009,No
174,61,61,4,Mastercard,Débito,5891053637541514,02/2022,362,SÍ,2,23049.0,06/2013,2013,No
175,61,61,5,Visa,Débito,4222570131769035,05/2020,141,SÍ,1,29734.0,12/2017,2017,No
176,61,61,6,Visa,Crédito,4453742478192143,01/2020,346,SÍ,2,27000.0,09/2011,2016,No
177,61,61,7,Mastercard,Debit (Prepaid),5335984658439104,11/2022,320,SÍ,1,18.0,03/2008,2010,No
178,62,62,0,Mastercard,Débito,5708150083756692,04/2023,824,SÍ,1,17848.0,12/2015,2015,No
179,62,62,1,Mastercard,Débito,5238684130320063,11/2022,870,NO,1,25563.0,05/2010,2010,No
180,62,62,2,Visa,Crédito,4740880792169372,04/2020,168,SÍ,2,12000.0,10/2010,2010,No
181,62,62,3,Amex,Crédito,361648729239104,11/2018,709,NO,2,6600.0,02/2012,2012,No
182,63,63,0,Amex,Crédito,363305614201313,09/2023,943,NO,1,5600.0,01/2020,2020,No
183,63,63,1,Visa,Débito,4360859456629853,11/2022,428,SÍ,3,11873.0,02/2020,2020,No
184,63,63,2,Mastercard,Crédito,5498016831726771,02/2020,871,SÍ,1,7200.0,02/2020,2020,No
185,64,64,0,Amex,Crédito,381572912003735,08/2024,145,SÍ,1,10000.0,02/2020,2020,No
186,64,64,1,Mastercard,Crédito,5079302523329059,04/2023,381,SÍ,2,500.0,11/2010,2010,No
187,65,65,0,Mastercard,Débito,5546998350637125,02/2020,718,SÍ,1,22697.0,02/2020,2020,No
188,65,65,1,Mastercard,Crédito,5326031764905960,08/2023,437,SÍ,1,18000.0,03/2013,2013,No
189,65,65,2,Mastercard,Débito,5096150037217374,10/2024,862,SÍ,1,32903.0,06/2010,2010,No
190,66,66,0,Visa,Débito,4489873116412364,08/2021,547,SÍ,2,12764.0,05/1999,2010,No
191,66,66,1,Mastercard,Crédito,5621725368325863,10/2022,60,SÍ,1,6300.0,02/2019,2019,No
192,67,67,0,Mastercard,Débito,5923138803280580,02/2022,934,SÍ,2,7541.0,09/2008,2013,No
193,67,67,1,Visa,Débito,4447989421793048,03/2022,995,SÍ,2,1266.0,06/2007,2012,No
194,67,67,2,Mastercard,Crédito,5000307662634780,04/2020,263,NO,1,9500.0,09/2014,2014,No
195,68,68,0,Mastercard,Débito,5707305515533516,04/2020,203,SÍ,2,1837.0,06/2010,2010,No
196,68,68,1,Mastercard,Débito,5864987017850552,08/2023,258,SÍ,2,17453.0,02/2006,2008,No
197,69,69,0,Visa,Débito,4228885239928189,10/2013,543,NO,1,28283.0,05/2008,2012,No
198,69,69,1,Visa,Crédito,4210237285941913,04/2020,160,SÍ,1,13500.0,05/2010,2012,No
199,69,69,2,Visa,Crédito,4877073763902898,07/2014,786,SÍ,2,13300.0,06/2012,2012,No
200,70,70,0,Mastercard,Débito,5558040779986506,09/2021,69,SÍ,2,17941.0,04/2009,2009,No
201,71,71,0,Visa,Crédito,4642496218651973,04/2018,594,SÍ,1,14400.0,06/2010,2012,No
202,71,71,1,Visa,Crédito,4244401907291512,04/2020,120,SÍ,1,4400.0,07/2012,2012,No
203,71,71,2,Mastercard,Crédito,5157439545898691,03/2020,657,SÍ,1,13000.0,02/2020,2020,No
204,71,71,3,Visa,Débito,4079516725179269,04/2023,72,SÍ,2,22701.0,02/2020,2020,No
205,72,72,0,Mastercard,Crédito,5597117503471640,08/2024,934,NO,1,16100.0,02/2020,2020,No
206,72,72,1,Mastercard,Débito,5808372218918202,09/2023,138,SÍ,2,7629.0,02/2020,2020,No
207,73,73,0,Mastercard,Débito,5565497732362129,03/2022,430,NO,1,16538.0,04/2012,2012,No
208,73,73,1,Visa,Débito,4072893581482208,12/2020,578,SÍ,2,22746.0,01/2008,2010,No
209,73,73,2,Mastercard,Débito,5161929618424764,07/2016,743,SÍ,1,9737.0,02/2016,2016,No
210,73,73,3,Mastercard,Crédito,5359358098670039,07/2019,428,SÍ,1,6500.0,02/2011,2014,No
211,73,73,4,Mastercard,Débito,5093514487076217,06/2020,889,SÍ,2,2650.0,02/2011,2013,No
212,73,73,5,Visa,Crédito,4409790595650716,05/2012,839,SÍ,2,8200.0,01/2009,2011,No
213,73,73,6,Amex,Crédito,373325875666765,01/2022,204,SÍ,2,6200.0,11/2006,2013,No
214,74,74,0,Amex,Crédito,366837170672753,01/2021,803,SÍ,2,22600.0,11/2006,2014,No
215,74,74,1,Mastercard,Débito,5260255791659846,05/2024,428,SÍ,2,6940.0,03/2006,2009,No
216,74,74,2,Mastercard,Débito,5911939393457828,03/2024,410,SÍ,2,23408.0,04/1996,2008,No
217,74,74,3,Visa,Crédito,4226284680001632,09/2022,966,SÍ,2,9700.0,11/2004,2007,No
218,75,75,0,Mastercard,Débito,5624997997810589,06/2024,992,NO,2,10538.0,07/2006,2006,No
219,75,75,1,Mastercard,Débito,5752209560237460,03/2023,385,SÍ,2,6853.0,08/2001,2006,No
220,75,75,2,Mastercard,Débito,5470018669871087,10/2020,598,SÍ,2,607.0,12/2002,2010,No
221,75,75,3,Mastercard,Crédito,5764603958082866,08/2021,397,SÍ,1,0.0,08/2010,2010,No
222,75,75,4,Visa,Débito,4378354586828464,06/2021,644,SÍ,2,8253.0,10/2004,2011,No
223,76,76,0,Visa,Débito,4415203972868492,09/2020,847,SÍ,2,8492.0,01/2020,2020,No
224,77,77,0,Visa,Crédito,4716309780327853,07/2022,275,SÍ,1,9100.0,01/2010,2010,No
225,77,77,1,Mastercard,Crédito,5175414290540891,04/2022,497,NO,2,2600.0,07/2011,2011,No
226,77,77,2,Mastercard,Crédito,5079431552272493,05/2024,813,NO,1,7300.0,11/2002,2010,No
227,78,78,0,Visa,Crédito,4841586209388617,08/2020,207,SÍ,1,15000.0,10/2009,2009,No
228,78,78,1,Mastercard,Crédito,5133341979041600,04/2024,497,SÍ,2,18700.0,02/2020,2020,No
229,78,78,2,Visa,Débito,4044685132149960,05/2021,579,SÍ,1,21458.0,01/2020,2020,No
230,78,78,3,Visa,Crédito,4825181289428263,04/2020,635,NO,1,15700.0,11/2010,2014,No
231,79,79,0,Mastercard,Débito,5533057740649374,01/2020,13,SÍ,2,20765.0,12/2014,2014,No
232,79,79,1,Mastercard,Débito,5137811039972629,06/2022,170,NO,2,18101.0,02/2020,2020,No
233,79,79,2,Visa,Crédito,4409545480052957,11/2024,528,SÍ,1,8400.0,02/2020,2020,No
234,79,79,3,Mastercard,Débito,5169705466479218,03/2020,66,SÍ,1,1737.0,01/2020,2020,No
235,80,80,0,Mastercard,Crédito,5782138554730431,02/2020,217,SÍ,2,20900.0,02/2020,2020,No
236,80,80,1,Visa,Crédito,4450097042295695,11/2021,601,SÍ,1,23700.0,02/2020,2020,No
237,80,80,2,Mastercard,Crédito,5298079382002761,11/2021,989,SÍ,1,17500.0,01/2020,2020,No
238,81,81,0,Visa,Débito,4911894810892317,06/2024,769,SÍ,1,26083.0,12/2009,2009,No
239,81,81,1,Visa,Débito,4394014058373538,10/2022,943,SÍ,1,31589.0,05/2008,2008,No
240,81,81,2,Visa,Crédito,4984110253172329,06/2021,453,SÍ,2,24200.0,10/2000,2013,No
241,82,82,0,Mastercard,Débito,5658875071888530,02/2020,190,SÍ,2,18321.0,02/2020,2020,No
242,83,83,0,Mastercard,Débito,5377126168537132,10/2022,94,SÍ,2,7551.0,11/2002,2010,No
243,83,83,1,Mastercard,Débito,5606824501502078,06/2014,451,SÍ,1,15377.0,08/2004,2011,No
244,83,83,2,Visa,Débito,4501704511432206,03/2023,324,SÍ,1,12990.0,10/2007,2016,No
245,83,83,3,Visa,Débito,4015096339812707,02/2023,494,SÍ,1,8509.0,06/2010,2010,No
246,84,84,0,Visa,Débito,4467199760802877,11/2014,176,SÍ,1,96907.0,11/2014,2014,No
247,84,84,1,Visa,Crédito,4081474027835147,07/2015,45,SÍ,1,43900.0,03/2008,2013,No
248,84,84,2,Visa,Debit (Prepaid),4868297041449163,10/2020,440,SÍ,2,76.0,11/2005,2007,No
249,85,85,0,Mastercard,Débito,5843714671989158,01/2020,533,SÍ,2,50915.0,01/2020,2020,No
250,85,85,1,Visa,Débito,4052306795072868,12/2021,369,SÍ,2,31767.0,02/2020,2020,No
251,86,86,0,Visa,Crédito,4229889369220690,04/2024,82,SÍ,2,13200.0,07/2008,2010,No
252,86,86,1,Mastercard,Crédito,5936949471946678,10/2022,372,SÍ,2,16000.0,02/2011,2012,No
253,86,86,2,Visa,Débito,4748458102584203,07/2024,223,SÍ,2,18132.0,01/2020,2020,No
254,86,86,3,Visa,Crédito,4862788591864799,02/2019,466,SÍ,1,300.0,04/2012,2012,No
255,87,87,0,Mastercard,Débito,5736838327060448,11/2022,714,SÍ,2,2236.0,05/2000,2015,No
256,87,87,1,Visa,Débito,4528854599819268,08/2019,451,SÍ,2,21591.0,09/2010,2010,No
